lecture_id,classroom_id,day,starttime,endtime
10342,1012006,1,900,1030
10342,1012006,4,1500,1630
10343,1012026,1,1500,1630
10343,1012026,4,1630,1800
10344,1023009,1,1400,1600
10344,1023009,3,900,1000
10345,1023013,2,1200,1300
10345,1023013,5,1000,1200
10346,1023009,2,1000,1200
10346,1023009,5,1300,1400
10348,1023009,1,1300,1400
10348,1023009,3,1000,1200
10349,1023009,3,1500,1700
10349,1023009,5,900,1000
10350,1023009,3,1700,1800
10350,1023009,5,1000,1200
10351,1023013,2,1000,1200
10351,1023013,5,1300,1400
10352,1023009,1,1600,1800
10352,1023009,3,1200,1300
10353,1023022,3,1300,1500
10353,1023022,4,1400,1500
10354,1023009,2,1600,1800
10354,1023009,4,1200,1300
10356,1023022,1,1400,1600
10357,1023009,2,900,1000
10357,1023009,4,1000,1200
10358,1023022,1,1800,2100
10359,1023022,1,1000,1200
10359,1023022,4,1300,1400
10360,1023022,1,1300,1400
10360,1023022,3,1000,1200
10361,1023022,2,1500,1700
10361,1023022,4,900,1000
10363,1023009,1,1200,1300
10363,1023009,4,1600,1800
10364,1023009,2,1300,1500
10364,1023009,5,1200,1300
10365,1012021,2,1400,1600
10365,1012027,3,1200,1300
10366,1012027,1,1400,1600
10366,1012027,3,900,1000
10367,1012027,1,1300,1400
10367,1012027,3,1000,1200
10368,1012021,2,1000,1200
10368,1012021,6,900,1000
10369,1012021,3,1300,1500
10369,1012021,5,1200,1300
10370,1012027,1,1000,1200
10370,1012027,4,1300,1400
10371,1012027,1,900,1000
10371,1012027,4,1400,1600
10372,1012027,1,1200,1300
10372,1012027,4,1600,1800
10373,1012004,3,1400,1600
10373,1023017,3,1400,1600
10373,1012004,6,1000,1100
10373,1023017,6,1000,1100
10374,1023024,2,1000,1200
10374,1023024,4,1500,1600
10375,1023024,3,1600,1700
10375,1023024,4,1600,1800
10377,1023011,2,1400,1600
10377,1023011,4,1600,1700
10378,1023011,3,900,1000
10378,1023011,5,1000,1200
10379,1023011,2,1000,1200
10379,1023011,4,900,1000
10380,1023025,2,900,1000
10380,1023025,4,1400,1600
10381,1023025,2,1600,1700
10381,1023025,4,1000,1200
10382,1023032,1,1630,1800
10382,1023011,3,1030,1200
10383,1023011,1,1400,1600
10383,1023011,3,1400,1500
10385,1023025,2,1000,1200
10385,1023025,3,900,1000
10386,1023011,2,1600,1700
10386,1023011,4,1400,1600
10387,1023011,3,1500,1700
10387,1023011,5,1300,1400
10388,1023032,2,1200,1330
10388,1023011,4,1030,1200
10389,1023011,1,1000,1200
10389,1023025,4,900,1000
10390,1023025,3,1700,1800
10390,1023025,5,900,1100
10391,1023032,1,1200,1330
10391,1023025,3,1330,1500
10393,1023025,3,1000,1200
10394,1023025,1,1500,1700
10395,1023025,1,1000,1200
10395,1023025,2,1700,1800
10396,1023025,3,1500,1700
10396,1023025,4,1200,1300
10397,1012010,2,1630,1800
10397,1012010,4,1200,1330
10398,1012010,2,1500,1630
10398,1012010,4,900,1030
10399,1012010,2,1030,1200
10399,1012010,5,1330,1500
10400,1012010,2,1330,1500
10400,1012010,4,1030,1200
10401,1012004,1,1030,1200
10401,1012004,4,1330,1500
10402,1012004,1,1200,1330
10402,1012004,3,1030,1200
10403,1012004,1,1500,1630
10403,1012004,4,1630,1800
10404,1012004,1,900,1030
10404,1012004,4,1500,1630
10405,1012004,2,1630,1800
10405,1012004,4,1200,1330
10406,1012004,2,1500,1630
10406,1012004,4,900,1030
10407,1023028,1,1400,1500
10407,1023028,2,1400,1600
10408,1023028,1,1500,1600
10408,1023028,2,1000,1200
10410,1023007,3,1300,1400
10410,1023007,5,1000,1200
10411,1023028,3,1300,1400
10411,1023028,5,1000,1200
10412,1023007,3,1000,1200
10413,1023028,1,1000,1200
10413,1023007,2,1400,1500
10414,1023007,2,1500,1600
10414,1023028,4,1000,1200
10415,1023028,2,1300,1400
10415,1023028,4,1300,1500
10417,1023028,3,900,1000
10417,1023028,5,1300,1500
10418,1023007,2,1700,1800
10418,1023007,3,1600,1800
10419,1023028,1,1600,1700
10419,1023007,2,1000,1200
10421,1023007,1,1000,1200
10421,1023028,2,1600,1700
10422,1023028,4,1500,1800
10423,1023028,1,1300,1400
10423,1023028,3,1000,1200
10424,1023007,1,1500,1700
10424,1023028,3,1600,1700
10425,1023007,2,1300,1400
10425,1023007,4,1300,1500
10426,1023028,2,1700,1800
10426,1023028,3,1400,1600
10428,1023007,4,1000,1200
10429,1023007,1,1400,1500
10429,1023007,3,1400,1600
10430,1023007,4,1500,1800
10431,1012011,2,1030,1200
10431,1012011,5,1330,1500
10432,1012011,2,1330,1500
10432,1012011,4,1030,1200
10433,1012001,2,1630,1800
10433,1012001,4,1300,1430
10434,1012014,1,1200,1330
10434,1012014,4,1500,1630
10435,1012011,3,1500,1630
10435,1012011,5,900,1030
10436,1012011,3,1630,1800
10436,1012011,5,1030,1200
10437,1012011,3,1330,1500
10437,1012011,5,1200,1330
10438,1023027,2,1000,1200
10438,1023027,4,1100,1200
10439,1023027,3,1500,1700
10439,1023027,4,1000,1100
10443,1012014,1,1330,1500
10443,1012014,3,900,1030
10444,1012014,1,1030,1200
10444,1012014,4,1330,1500
10446,1023027,1,1500,1700
10446,1023016,3,1000,1100
10447,1023016,2,1400,1700
10448,1023027,2,1300,1500
10448,1023016,4,1100,1200
10449,1023016,2,900,1200
10451,1023027,1,1300,1500
10451,1023027,3,1200,1300
10452,1023027,1,1000,1200
10452,1023027,3,1100,1200
10453,1023027,3,1000,1100
10453,1023016,4,1400,1600
10454,1023016,3,1300,1500
10454,1023016,5,1200,1300
10455,1023016,1,1100,1300
10455,1023016,4,1000,1100
10456,1023016,3,1100,1300
10456,1023016,5,1100,1200
10457,1023016,2,1300,1400
10457,1023027,4,1400,1600
10459,1023016,2,1700,1900
10460,1023016,4,1700,1900
10461,1023016,1,1000,1100
10461,1023016,3,1500,1700
10462,1023016,1,1400,1700
10464,1023018,1,1400,1600
10464,1023018,3,1400,1500
10465,1023024,1,1330,1500
10465,1023024,4,1030,1200
